mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
627,352,1841,13,9,20,22,28,
308,1078,1300,1,3,17,43,51,
2039,410,2169,13,18,16,17,21,
1551,1103,1051,19,18,12,17,18,
628,302,2479,7,1,7,30,27,
309,826,1774,20,18,18,26,25,
1075,916,2543,6,19,2,19,17,
310,719,1333,17,1,16,17,20,
629,1223,2405,5,16,19,22,22,
311,757,1341,1,10,6,31,28,
2532,668,780,3,20,13,26,21,
312,669,2379,2,2,16,25,19,
1076,348,1610,18,4,3,34,33,
1552,1262,1767,19,11,20,33,34,
630,520,2256,11,8,9,23,33,
2040,1278,738,11,16,9,22,24,
313,1074,743,14,7,5,26,30,
631,276,766,19,19,10,28,24,
314,1092,1577,17,3,18,28,26,
1077,636,2190,18,4,18,21,18,
315,1077,1524,3,10,14,29,32,
632,790,2328,16,12,19,30,26,
1553,784,1991,11,17,19,21,25,
316,817,1677,20,15,12,21,26,
317,316,1505,12,11,4,26,23,
2533,946,1244,14,15,9,23,23,
633,1270,1109,4,19,7,22,24,
1078,339,2317,16,17,16,23,24,
2041,779,2126,8,1,17,23,28,
318,982,2516,5,7,13,22,23,
319,989,708,3,10,5,19,21,
634,1140,2265,11,9,16,20,23,
1554,1153,1127,5,17,12,18,20,
320,764,1491,9,13,2,19,19,
1079,605,1645,4,10,11,22,23,
635,726,2021,8,12,16,17,21,
321,927,2516,10,1,12,31,21,
322,407,2543,15,4,12,26,24,
636,964,2197,12,1,8,16,18,
2042,972,2161,18,4,3,26,24,
1080,1272,1117,2,13,13,21,20,
2534,497,2202,5,12,1,40,24,
323,528,1905,13,2,19,25,27,
1555,944,961,6,19,13,23,26,
324,955,1838,13,4,2,16,18,
637,690,1842,7,10,13,27,23,
325,1047,1345,8,10,1,19,18,
1081,590,2120,16,16,2,23,38,
638,1204,1632,20,14,7,25,18,
326,590,2240,13,17,9,29,26,
1556,840,751,6,19,10,19,19,
327,776,1868,19,12,1,20,18,
2043,649,606,20,15,4,25,29,
639,776,610,6,13,17,25,20,
328,842,787,20,1,15,24,19,
1082,541,1446,2,15,6,17,19,
2535,1217,560,8,20,8,18,17,
329,493,2514,8,8,2,16,19,
640,290,531,3,14,4,18,21,
330,789,539,2,1,15,23,20,
1557,543,688,5,6,7,21,22,
1083,1089,943,7,12,16,26,28,
641,617,2179,12,15,3,22,25,
331,857,2112,1,7,20,22,20,
2044,1241,1045,20,10,19,24,18,
332,994,1690,12,9,9,20,18,
642,1146,1070,14,17,7,22,19,
333,905,2212,18,3,2,20,21,
1084,912,1660,7,9,19,27,21,
334,258,887,13,15,1,30,28,
643,895,2372,4,14,2,24,22,
1558,400,1176,19,18,14,23,22,
2536,1206,1974,2,9,18,17,19,
335,343,1605,16,2,7,22,19,
644,748,1155,8,13,17,27,26,
1085,1119,1688,20,10,12,24,22,
336,610,1605,5,1,16,20,26,
2045,1116,1345,12,1,7,22,23,
337,1210,2540,2,18,12,22,23,
645,1075,574,7,6,15,19,18,
1559,489,2290,8,1,7,25,27,
338,1154,1400,4,8,19,25,30,
1086,1171,2540,15,5,11,18,21,
339,865,933,20,20,3,17,21,
646,1264,1028,17,11,2,18,18,
2537,1146,2366,10,19,17,17,17,
340,646,2462,15,19,16,24,18,
647,1165,2194,14,13,15,25,21,
1087,511,852,10,19,5,22,30,
341,1039,1427,14,20,3,33,17,
2046,332,1039,1,3,13,21,24,
1560,1229,545,12,6,4,20,20,
342,743,1250,8,18,16,28,18,
648,955,2122,9,12,4,17,18,
343,724,673,15,15,7,21,20,
1088,1207,708,20,5,12,17,17,
649,469,1065,17,17,15,23,19,
344,832,2218,17,19,18,24,28,
1561,479,834,16,10,14,27,30,
345,939,2141,13,6,8,21,22,
2538,762,1915,12,11,10,16,19,
650,1158,2263,16,20,9,21,20,
2047,572,626,9,14,15,20,22,
346,1013,2175,17,9,10,21,21,
1089,423,936,5,16,4,21,20,
347,305,682,7,11,9,23,26,
651,306,1486,16,5,14,21,20,
348,265,831,9,15,15,24,21,
1562,968,1938,15,18,6,19,18,
1090,630,900,3,7,1,18,23,
652,477,1585,9,2,16,22,27,
349,585,2087,1,10,14,31,26,
350,825,2114,1,13,9,33,19,
2048,382,1170,12,4,16,23,28,
653,956,1165,13,1,20,23,24,
351,577,556,18,9,2,19,18,
2539,1037,2538,18,10,5,23,19,
1091,1202,1839,19,4,17,21,23,
1563,589,1929,4,6,17,30,21,
352,589,1210,1,12,10,23,26,
654,1258,2160,10,10,1,27,22,
353,746,1997,5,14,10,28,31,
1092,581,697,18,20,11,18,18,
655,813,2513,18,4,7,28,25,
354,1184,878,8,8,15,22,18,
2049,1104,1962,15,12,17,22,23,
355,909,860,16,14,8,23,26,
656,857,1502,4,7,2,23,23,
1564,993,1321,1,3,6,24,23,
356,849,1589,18,17,19,21,20,
1093,323,1390,1,2,10,22,32,
2540,658,2321,5,7,18,19,21,
657,948,2381,16,16,6,19,17,
357,394,1594,12,2,11,17,18,
358,501,1418,10,3,8,21,23,
658,1092,831,7,10,9,28,26,
1094,878,2447,6,8,17,26,19,
1565,723,2404,11,5,2,19,19,
2050,539,891,1,12,1,22,24,
359,416,1501,9,11,10,26,23,
360,672,1777,9,1,3,19,21,
659,605,1991,12,6,14,19,26,
361,1089,546,2,4,3,26,21,
1095,269,1137,10,17,10,19,19,
660,764,1448,19,19,12,18,23,
2541,551,573,16,10,19,20,17,
362,737,1521,7,13,19,17,19,
1566,1089,1322,7,10,10,26,19,
363,1166,1949,13,18,13,24,21,
661,721,2014,17,17,3,22,24,
2051,723,2549,12,13,14,25,25,
1096,410,1624,1,6,17,21,19,
364,1019,2007,16,5,5,32,24,
662,1104,2023,15,14,3,23,25,
365,288,1646,19,20,10,28,27,
1567,1268,1048,1,10,7,26,21,
1097,1073,2196,19,1,19,19,18,
366,1263,1926,10,11,12,27,18,
663,1148,1787,4,11,5,17,24,
367,637,1866,18,6,17,20,27,
2542,893,1214,12,17,9,24,25,
2052,1267,2090,2,16,18,24,30,
368,381,1440,19,1,2,19,16,
664,669,2160,2,14,8,18,19,
1098,651,1053,2,7,16,18,22,
1568,840,2214,13,3,14,35,46,
369,949,699,9,19,6,17,19,
665,1228,1420,15,3,16,18,20,
370,439,1369,20,7,8,30,26,
1099,899,982,4,18,3,24,22,
371,519,1538,19,7,6,25,22,
666,527,2530,20,9,20,17,18,
2053,921,2125,20,14,9,22,23,
372,522,1823,12,14,8,17,19,
1569,1148,1790,10,11,16,18,16,
2543,563,698,9,14,3,20,21,
667,720,640,3,7,12,24,23,
373,1118,1841,17,3,8,22,30,
1100,1158,593,1,15,19,24,18,
